EmployeeID,Gender,Age,Department,JobRole,ExperienceYears,Salary,Attrition
E0001,Female,38,Finance,Finance Manager,1,79191,No
E0002,Male,40,Sales,Sales Executive,3,52727,No
E0003,Male,30,IT,Tech Lead,8,98754,No
E0004,Male,43,Sales,Sales Manager,9,93438,No
E0005,Female,24,IT,Tech Lead,12,99931,No
E0006,Female,24,Sales,Sales Executive,18,57236,No
E0007,Female,39,Sales,Sales Executive,22,43240,No
E0008,Male,40,Finance,Accountant,3,90904,No
E0009,Female,26,HR,HR Intern,16,74105,Yes
E0010,Female,30,IT,Intern,13,99943,Yes
E0011,Female,49,HR,HR Executive,5,46308,Yes
E0012,Female,42,HR,HR Executive,7,56216,No
E0013,Male,37,HR,HR Executive,3,57239,Yes
E0014,Male,34,Finance,Analyst,4,56924,No
E0015,Male,43,Sales,Sales Manager,24,44489,No
E0016,Female,41,IT,Intern,20,24358,No
E0017,Male,50,HR,HR Manager,18,35983,No
E0018,Male,35,Finance,Accountant,15,27750,No
E0019,Female,34,Finance,Analyst,12,97097,No
E0020,Male,38,HR,HR Manager,6,94686,Yes
E0021,Male,44,IT,Intern,19,80042,No
E0022,Female,49,Finance,Finance Manager,14,76501,No
E0023,Female,26,IT,Software Engineer,5,65030,No
E0024,Male,42,Sales,Sales Manager,9,32814,No
E0025,Female,44,Sales,Sales Executive,2,46506,Yes
E0026,Male,38,HR,HR Intern,20,60466,No
E0027,Male,26,HR,HR Executive,13,38551,No
E0028,Male,28,HR,HR Manager,11,35136,No
E0029,Female,27,Finance,Analyst,9,71979,Yes
E0030,Male,41,HR,HR Intern,19,30670,No
E0031,Male,29,IT,Data Analyst,11,20650,Yes
E0032,Male,44,Finance,Analyst,10,75513,Yes
E0033,Male,43,Finance,Analyst,8,34118,No
E0034,Female,29,Sales,Sales Manager,5,84595,No
E0035,Female,50,Sales,Sales Manager,17,28741,No
E0036,Male,24,Sales,Sales Manager,14,59566,No
E0037,Female,25,HR,HR Intern,13,67435,No
E0038,Female,28,IT,Tech Lead,13,62444,No
E0039,Male,34,Finance,Finance Manager,18,19500,Yes
E0040,Male,37,Sales,Sales Executive,7,34023,No
E0041,Female,34,Finance,Finance Manager,6,89388,No
E0042,Male,27,Finance,Analyst,15,28162,No
E0043,Male,32,IT,Data Analyst,7,73668,No
E0044,Female,40,IT,Software Engineer,24,83297,No
E0045,Female,44,HR,HR Intern,15,52947,Yes
E0046,Female,42,HR,HR Manager,11,87202,No
E0047,Female,44,Finance,Accountant,4,57217,Yes
E0048,Female,26,HR,HR Executive,0,66788,No
E0049,Male,47,Finance,Finance Manager,8,73682,No
E0050,Female,40,Finance,Analyst,23,71694,No
E0051,Male,32,HR,HR Manager,21,34586,No
E0052,Male,34,IT,Software Engineer,12,23361,No
E0053,Male,49,Sales,Sales Manager,5,67229,No
E0054,Male,42,Sales,Sales Executive,25,45317,Yes
E0055,Female,31,HR,HR Manager,15,69564,No
E0056,Female,37,Sales,Sales Executive,8,38293,No
E0057,Female,48,Finance,Accountant,7,76087,Yes
E0058,Male,27,Sales,Sales Executive,2,49330,No
E0059,Female,42,Finance,Analyst,17,83364,No
E0060,Female,25,Sales,Sales Manager,11,72253,Yes
E0061,Male,41,Finance,Accountant,15,26718,Yes
E0062,Female,46,IT,Data Analyst,10,44953,No
E0063,Female,22,HR,HR Manager,7,81138,No
E0064,Female,50,IT,Intern,22,43681,Yes
E0065,Female,45,Sales,Sales Executive,10,99374,No
E0066,Male,26,HR,HR Executive,7,56995,No
E0067,Male,41,Sales,Sales Manager,0,54531,No
E0068,Male,45,Sales,Sales Executive,5,80471,Yes
E0069,Female,30,IT,Software Engineer,17,51283,No
E0070,Male,49,IT,Software Engineer,9,88154,Yes
E0071,Male,41,HR,HR Manager,17,78372,No
E0072,Male,24,HR,HR Intern,23,34899,No
E0073,Female,42,IT,Data Analyst,18,88502,Yes
E0074,Male,22,HR,HR Intern,14,62166,No
E0075,Male,36,Sales,Sales Manager,11,83761,Yes
E0076,Male,42,Sales,Sales Executive,6,61225,No
E0077,Female,46,Sales,Sales Manager,4,36177,No
E0078,Male,40,Sales,Sales Executive,10,29792,No
E0079,Male,34,IT,Tech Lead,13,60973,No
E0080,Male,42,HR,HR Intern,13,82838,No
E0081,Female,31,IT,Software Engineer,24,41405,No
E0082,Female,37,Sales,Sales Manager,17,84801,No
E0083,Female,47,HR,HR Intern,11,55068,No
E0084,Female,35,IT,Intern,18,63800,No
E0085,Male,49,Sales,Sales Manager,22,29422,No
E0086,Male,45,HR,HR Manager,23,44467,No
E0087,Male,38,HR,HR Executive,23,66870,No
E0088,Female,34,Sales,Sales Manager,2,20264,No
E0089,Male,28,Sales,Sales Manager,4,84833,No
E0090,Male,28,Sales,Sales Executive,21,88674,No
E0091,Female,29,Sales,Sales Manager,11,82618,No
E0092,Male,24,Finance,Analyst,4,47792,No
E0093,Female,46,Finance,Finance Manager,1,52546,No
E0094,Male,34,HR,HR Manager,13,31751,No
E0095,Female,43,IT,Software Engineer,4,74851,Yes
E0096,Female,46,Sales,Sales Manager,1,41508,Yes
E0097,Male,42,Sales,Sales Manager,9,30219,Yes
E0098,Male,42,Sales,Sales Executive,19,98547,No
E0099,Female,26,IT,Intern,1,24486,No
E0100,Male,35,IT,Tech Lead,10,29304,No
E0101,Female,24,IT,Tech Lead,14,26538,No
E0102,Male,46,Finance,Analyst,20,81890,Yes
E0103,Female,34,HR,HR Executive,20,63152,No
E0104,Female,26,Sales,Sales Executive,14,78188,Yes
E0105,Female,49,Sales,Sales Manager,14,25373,Yes
E0106,Male,31,HR,HR Intern,20,90144,No
E0107,Male,26,HR,HR Executive,22,94802,Yes
E0108,Female,44,HR,HR Intern,15,73085,No
E0109,Male,40,Finance,Accountant,20,28004,No
E0110,Male,50,IT,Tech Lead,6,67338,Yes
E0111,Male,35,IT,Tech Lead,3,18943,No
E0112,Male,39,Finance,Analyst,21,20918,No
E0113,Male,42,Finance,Analyst,15,93525,No
E0114,Female,46,HR,HR Manager,21,51391,Yes
E0115,Female,24,HR,HR Manager,21,93406,No
E0116,Male,32,HR,HR Intern,22,49656,No
E0117,Female,42,HR,HR Manager,25,66365,Yes
E0118,Male,44,HR,HR Intern,1,38008,Yes
E0119,Female,50,Finance,Analyst,2,76068,No
E0120,Female,33,Finance,Finance Manager,6,97494,No
E0121,Male,26,Finance,Finance Manager,14,66847,No
E0122,Female,28,Sales,Sales Manager,4,37891,No
E0123,Male,32,Sales,Sales Executive,23,25698,No
E0124,Female,50,Finance,Accountant,13,57973,No
E0125,Male,23,IT,Software Engineer,16,31484,No
E0126,Male,45,HR,HR Executive,3,61004,No
E0127,Male,39,HR,HR Executive,23,73521,No
E0128,Male,32,IT,Tech Lead,13,38451,No
E0129,Male,29,Finance,Analyst,11,51857,No
E0130,Female,40,Sales,Sales Manager,11,94338,Yes
E0131,Female,49,Sales,Sales Executive,13,20159,No
E0132,Female,29,IT,Intern,19,49217,No
E0133,Female,44,HR,HR Executive,1,72779,Yes
E0134,Male,38,Finance,Accountant,24,32286,No
E0135,Female,39,IT,Data Analyst,16,30053,No
E0136,Female,27,Finance,Analyst,15,29057,No
E0137,Female,35,HR,HR Manager,2,27204,No
E0138,Male,47,Finance,Analyst,13,25694,No
E0139,Female,50,Sales,Sales Executive,16,62209,No
E0140,Female,31,HR,HR Manager,23,66203,No
E0141,Female,40,IT,Data Analyst,11,56783,No
E0142,Male,47,HR,HR Manager,2,30637,No
E0143,Female,50,Finance,Finance Manager,8,78596,No
E0144,Male,33,Finance,Analyst,13,51082,No
E0145,Female,49,HR,HR Intern,24,32375,No
E0146,Male,23,IT,Data Analyst,7,42304,Yes
E0147,Female,42,IT,Software Engineer,9,44751,No
E0148,Male,37,Finance,Analyst,11,62278,No
E0149,Male,40,IT,Software Engineer,21,95483,Yes
E0150,Female,29,Finance,Analyst,12,75601,No
E0151,Female,25,Finance,Accountant,6,55349,No
E0152,Female,48,Finance,Finance Manager,13,39753,No
E0153,Female,23,Finance,Analyst,10,71873,No
E0154,Male,41,HR,HR Manager,11,42083,Yes
E0155,Female,23,IT,Intern,0,25378,No
E0156,Female,50,Sales,Sales Manager,24,74281,No
E0157,Female,42,HR,HR Intern,10,69398,No
E0158,Female,35,HR,HR Executive,7,56707,Yes
E0159,Male,42,Sales,Sales Executive,9,50661,Yes
E0160,Male,43,HR,HR Intern,12,85507,No
E0161,Female,31,Sales,Sales Executive,4,30600,No
E0162,Male,41,HR,HR Manager,15,92252,No
E0163,Female,28,IT,Intern,15,28454,Yes
E0164,Male,23,HR,HR Manager,18,43226,Yes
E0165,Male,27,HR,HR Executive,21,52663,No
E0166,Female,41,Finance,Accountant,0,67430,No
E0167,Female,36,IT,Data Analyst,17,38331,Yes
E0168,Male,50,Sales,Sales Executive,19,34726,No
E0169,Female,46,IT,Tech Lead,12,93888,No
E0170,Female,33,IT,Intern,14,55248,Yes
E0171,Male,43,HR,HR Executive,7,73304,No
E0172,Male,35,IT,Data Analyst,10,69822,Yes
E0173,Male,45,Finance,Finance Manager,16,70265,Yes
E0174,Female,39,HR,HR Intern,19,35633,No
E0175,Female,42,Sales,Sales Manager,21,27439,No
E0176,Female,25,IT,Intern,17,40366,Yes
E0177,Male,49,IT,Data Analyst,3,50556,Yes
E0178,Female,48,Finance,Finance Manager,12,73005,No
E0179,Male,27,IT,Data Analyst,20,61144,No
E0180,Male,45,Finance,Accountant,22,78752,No
E0181,Male,33,IT,Tech Lead,6,56439,No
E0182,Female,33,Finance,Finance Manager,5,39099,No
E0183,Male,22,IT,Software Engineer,4,23327,No
E0184,Male,46,IT,Data Analyst,16,67104,No
E0185,Female,45,IT,Software Engineer,1,20355,Yes
E0186,Female,32,HR,HR Executive,3,26940,No
E0187,Female,46,HR,HR Executive,7,84114,Yes
E0188,Male,31,Sales,Sales Manager,9,57000,No
E0189,Female,22,Sales,Sales Manager,13,63665,No
E0190,Female,35,Sales,Sales Executive,23,40772,No
E0191,Male,40,Finance,Finance Manager,20,98358,No
E0192,Male,42,HR,HR Executive,3,39529,No
E0193,Female,47,Sales,Sales Executive,7,28275,No
E0194,Male,29,Finance,Analyst,23,31156,No
E0195,Male,48,Sales,Sales Manager,8,63719,Yes
E0196,Female,46,Sales,Sales Executive,1,25119,Yes
E0197,Female,47,Sales,Sales Executive,16,30013,Yes
E0198,Male,27,Sales,Sales Executive,11,88818,Yes
E0199,Male,36,IT,Tech Lead,13,50924,No
E0200,Female,45,HR,HR Executive,6,27634,No
E0201,Female,24,Finance,Accountant,23,56280,No
E0202,Male,40,Finance,Finance Manager,4,34063,No
E0203,Female,36,HR,HR Manager,5,65502,No
E0204,Female,27,Finance,Finance Manager,2,44865,No
E0205,Male,32,IT,Tech Lead,10,50956,Yes
E0206,Male,43,Sales,Sales Manager,8,71314,No
E0207,Male,36,IT,Data Analyst,7,36781,No
E0208,Female,27,Finance,Finance Manager,15,55684,No
E0209,Female,32,IT,Software Engineer,21,88118,No
E0210,Male,28,IT,Data Analyst,17,43700,No
E0211,Male,42,IT,Data Analyst,13,35890,No
E0212,Female,35,Finance,Finance Manager,14,35284,No
E0213,Female,43,HR,HR Executive,4,22071,No
E0214,Female,46,Sales,Sales Executive,15,70314,No
E0215,Male,30,HR,HR Executive,25,78781,Yes
E0216,Female,47,HR,HR Intern,17,47408,No
E0217,Male,47,Finance,Analyst,5,94313,No
E0218,Male,45,Sales,Sales Manager,21,65565,Yes
E0219,Female,33,Sales,Sales Manager,4,67278,Yes
E0220,Male,41,IT,Intern,20,55687,No
E0221,Female,34,Sales,Sales Manager,0,54774,No
E0222,Male,29,Finance,Accountant,17,95663,Yes
E0223,Female,41,Sales,Sales Executive,23,30694,No
E0224,Male,44,IT,Software Engineer,4,58776,No
E0225,Male,50,Sales,Sales Manager,16,56271,No
E0226,Male,26,Finance,Analyst,23,70924,No
E0227,Male,31,IT,Tech Lead,0,74977,No
E0228,Male,47,Finance,Finance Manager,21,20434,No
E0229,Female,37,Finance,Analyst,15,84120,Yes
E0230,Female,30,Sales,Sales Manager,6,63945,No
E0231,Male,32,Finance,Analyst,7,18297,Yes
E0232,Female,35,Finance,Analyst,2,82196,No
E0233,Female,48,Sales,Sales Manager,25,85420,No
E0234,Female,49,Sales,Sales Manager,5,76729,No
E0235,Male,45,Finance,Analyst,3,83556,No
E0236,Female,34,HR,HR Manager,11,45503,No
E0237,Female,39,Sales,Sales Manager,12,21132,No
E0238,Female,42,IT,Intern,18,74036,No
E0239,Male,29,HR,HR Intern,18,34615,No
E0240,Female,36,IT,Intern,23,32132,No
E0241,Female,33,IT,Software Engineer,9,81933,No
E0242,Male,35,HR,HR Intern,18,43871,No
E0243,Female,50,HR,HR Intern,22,76813,No
E0244,Female,41,Finance,Accountant,23,83004,No
E0245,Female,32,HR,HR Intern,3,50206,No
E0246,Male,30,IT,Tech Lead,3,51089,Yes
E0247,Male,37,IT,Software Engineer,17,83778,No
E0248,Male,49,Sales,Sales Manager,0,18438,No
E0249,Male,37,IT,Data Analyst,8,96364,No
E0250,Male,43,HR,HR Executive,25,28122,Yes
E0251,Male,48,Sales,Sales Executive,16,23677,Yes
E0252,Female,44,Sales,Sales Executive,16,82808,No
E0253,Male,50,Sales,Sales Manager,9,56399,Yes
E0254,Male,37,IT,Tech Lead,4,53166,No
E0255,Male,23,HR,HR Intern,21,70225,Yes
E0256,Male,38,HR,HR Intern,15,42789,No
E0257,Male,42,HR,HR Intern,21,79306,No
E0258,Male,42,Sales,Sales Manager,6,56348,Yes
E0259,Female,33,HR,HR Executive,14,44851,No
E0260,Male,44,HR,HR Manager,22,55503,No
E0261,Female,41,Finance,Finance Manager,22,86595,No
E0262,Male,39,Sales,Sales Executive,7,89544,No
E0263,Female,23,Sales,Sales Executive,11,79771,Yes
E0264,Male,35,Sales,Sales Executive,0,18075,No
E0265,Female,37,IT,Data Analyst,16,47646,No
E0266,Male,38,Sales,Sales Executive,12,23196,No
E0267,Male,47,Finance,Accountant,13,55806,No
E0268,Male,35,Finance,Finance Manager,22,65071,No
E0269,Male,49,Sales,Sales Manager,5,93130,Yes
E0270,Male,37,Sales,Sales Executive,18,78657,Yes
E0271,Male,43,Finance,Analyst,7,98350,Yes
E0272,Male,31,HR,HR Intern,9,55140,No
E0273,Female,46,HR,HR Executive,2,46512,Yes
E0274,Female,47,Sales,Sales Executive,9,96039,Yes
E0275,Male,38,HR,HR Intern,23,97179,No
E0276,Female,38,Finance,Accountant,22,97330,No
E0277,Male,28,IT,Data Analyst,1,24909,No
E0278,Female,36,IT,Tech Lead,12,85788,No
E0279,Female,34,Finance,Analyst,2,96654,No
E0280,Female,31,Sales,Sales Executive,10,73390,No
E0281,Female,49,Finance,Analyst,13,84628,No
E0282,Male,29,IT,Software Engineer,15,43126,No
E0283,Female,39,Finance,Finance Manager,1,37152,No
E0284,Male,23,IT,Data Analyst,14,69994,No
E0285,Male,39,Sales,Sales Executive,0,38967,No
E0286,Female,42,Finance,Accountant,7,33996,No
E0287,Female,47,Sales,Sales Executive,9,33089,No
E0288,Male,25,HR,HR Manager,8,85059,Yes
E0289,Female,24,IT,Tech Lead,25,79532,No
E0290,Female,48,Finance,Accountant,16,61085,No
E0291,Female,34,HR,HR Executive,4,33568,Yes
E0292,Female,34,HR,HR Executive,2,76989,No
E0293,Female,36,Finance,Finance Manager,11,56417,No
E0294,Female,25,Sales,Sales Manager,1,72370,No
E0295,Female,22,Finance,Accountant,25,56318,No
E0296,Female,48,Sales,Sales Executive,24,75605,No
E0297,Female,41,IT,Intern,19,95313,No
E0298,Female,34,Finance,Accountant,22,76823,No
E0299,Female,38,Finance,Accountant,23,66864,No
E0300,Female,45,HR,HR Intern,14,70653,Yes
E0301,Female,28,IT,Tech Lead,5,37586,No
E0302,Male,30,HR,HR Manager,24,42052,No
E0303,Male,26,Finance,Finance Manager,8,72405,No
E0304,Female,27,Finance,Accountant,18,46825,No
E0305,Male,24,HR,HR Intern,0,86462,No
E0306,Male,27,HR,HR Intern,6,46261,Yes
E0307,Male,43,HR,HR Intern,25,50320,No
E0308,Female,26,Finance,Analyst,12,48700,No
E0309,Male,48,Sales,Sales Executive,14,93230,No
E0310,Female,31,HR,HR Manager,3,98143,No
E0311,Female,41,Finance,Accountant,2,30483,Yes
E0312,Female,45,IT,Tech Lead,21,83449,No
E0313,Female,42,Sales,Sales Manager,3,86619,No
E0314,Female,50,HR,HR Intern,25,30823,No
E0315,Male,24,Sales,Sales Manager,20,23667,No
E0316,Male,28,Finance,Finance Manager,17,66439,No
E0317,Female,41,Sales,Sales Manager,24,75538,Yes
E0318,Male,50,HR,HR Executive,18,61264,Yes
E0319,Male,34,IT,Software Engineer,5,86292,No
E0320,Female,49,HR,HR Executive,19,78813,No
E0321,Male,47,IT,Intern,2,92421,No
E0322,Female,27,HR,HR Executive,17,65002,No
E0323,Female,31,IT,Data Analyst,25,90369,No
E0324,Male,27,HR,HR Manager,0,34563,No
E0325,Female,45,IT,Intern,9,23652,No
E0326,Male,44,Sales,Sales Executive,0,74597,No
E0327,Female,36,IT,Intern,5,76373,No
E0328,Female,41,HR,HR Manager,14,52769,No
E0329,Female,48,Sales,Sales Manager,16,91220,No
E0330,Male,50,HR,HR Manager,11,67440,Yes
E0331,Male,46,Sales,Sales Manager,9,85786,No
E0332,Male,30,Finance,Analyst,12,77669,No
E0333,Male,37,Sales,Sales Manager,21,51183,Yes
E0334,Female,36,HR,HR Intern,5,49120,No
E0335,Female,41,IT,Tech Lead,0,91410,No
E0336,Male,35,Finance,Analyst,4,29500,No
E0337,Female,35,Sales,Sales Manager,22,46913,No
E0338,Female,31,Sales,Sales Manager,15,43540,Yes
E0339,Female,28,Finance,Accountant,22,65485,No
E0340,Male,26,HR,HR Executive,16,86546,No
E0341,Female,33,Finance,Analyst,7,37588,No
E0342,Female,40,Sales,Sales Manager,22,83652,Yes
E0343,Male,38,Sales,Sales Executive,3,47095,No
E0344,Male,22,IT,Intern,20,51354,No
E0345,Female,49,Sales,Sales Executive,2,55015,No
E0346,Female,50,IT,Data Analyst,0,61841,No
E0347,Female,44,HR,HR Intern,4,44036,No
E0348,Female,45,HR,HR Executive,21,53432,No
E0349,Male,48,Finance,Finance Manager,11,18382,Yes
E0350,Female,43,HR,HR Manager,9,54652,No
E0351,Female,44,Sales,Sales Manager,17,89100,Yes
